Hostname,Component,Vendor,Architecture,Model,Operating System,Rack,Rack Units,Top Rack Unit,Serial Number,Asset Number,Installed Date,Warranty Exp,Location,Country
server1,Chassis,Oracle,SPARC,M3000,,A1,2,2,12341,,,,,
server2,Chassis,Oracle,SPARC,M5000,,A1,10,12,12342,,,,,
server3,Chassis,Oracle,x86,X2-4,,A1,3,15,12343,,,,,
array1,SH3,Pure,,Disk shelf,,A1,2,17,12344,,,,,
array1,SH2,Pure,,Disk shelf,,A1,2,19,12345,,,,,
array1,SH1,Pure,,Disk shelf,,A1,2,21,12346,,,,,
array1,SH0,Pure,,Disk shelf,,A1,2,23,12347,,,,,
array1,CH0,Pure,,FA-m70r2,,A1,3,26,12348,,,,,
server5,Chassis,Dell,x86,R820,,A1,2,28,12349,,,,,
flashblade1,CH1,Pure,,FlashBlade,,A1,4,32,123450
server11,Chassis,Oracle,SPARC,M3000,,A2,2,2,12351,,,,,
server12,Chassis,Oracle,SPARC,M5000,,A2,10,12,12352,,,,,
server13,Chassis,Oracle,x86,X2-4,,A2,3,15,12353,,,,,
array2,SH3,Pure,,Disk shelf,,A2,2,17,12354,,,,,
array2,SH2,Pure,,Disk shelf,,A2,2,19,12355,,,,,
array2,SH1,Pure,,Disk shelf,,A2,2,21,12356,,,,,
array2,SH0,Pure,,Disk shelf,,A2,2,23,12357,,,,,
array2,CH0,Pure,,FA-m70r2,,A2,3,26,12358,,,,,
flashblade2,CH1,Pure,,FlashBlade,,A2,4,30,123459
